Player,2010-2011
,Player,"
							2010/11						","
							2010/11(*)						"
"
						1.
					","

								Kobe Bryant							
","
							$24,806,250						","
							$29,339,466						"
"
						2.
					","

								Rashard Lewis							
","
							$19,573,711						","
							$23,150,707						"
"
						3.
					","

								Kevin Garnett							
","
							$18,800,000						","
							$22,235,604						"
"
						4.
					","

								Tim Duncan							
","
							$18,700,000						","
							$22,117,330						"
"
						5.
					","

								Michael Redd							
","
							$18,300,000						","
							$21,644,232						"
"
						6.
					","

								Pau Gasol							
","
							$17,823,000						","
							$21,080,062						"
"
						6.
					","

								Andrei Kirilenko							
","
							$17,823,000						","
							$21,080,062						"
"
						8.
					","

								Gilbert Arenas							
","
							$17,730,694						","
							$20,970,888						"
"
						9.
					","

								Yao Ming							
","
							$17,686,100						","
							$20,918,145						"
"
						10.
					","

								Zach Randolph							
","
							$17,666,666						","
							$20,895,159						"
"
						11.
					","

								Vince Carter							
","
							$17,300,000						","
							$20,461,487						"
"
						12.
					","

								Dirk Nowitzki							
","
							$17,278,618						","
							$20,436,197						"
"
						13.
					","

								Carmelo Anthony							
","
							$17,149,243						","
							$20,283,180						"
"
						14.
					","

								Dwight Howard							
","
							$16,647,180						","
							$19,689,367						"
"
						15.
					","

								Kenyon Martin							
","
							$16,545,454						","
							$19,569,051						"
"
						16.
					","

								Amare Stoudemire							
","
							$16,486,611						","
							$19,499,455						"
"
						17.
					","

								Joe Johnson							
","
							$16,324,500						","
							$19,307,719						"
"
						18.
					","

								Elton Brand							
","
							$15,959,099						","
							$18,875,543						"
"
						19.
					","

								Predrag Stojakovic							
","
							$15,532,320						","
							$18,370,772						"
"
						20.
					","

								Chris Paul							
","
							$14,940,153						","
							$17,670,390						"
"
						21.
					","

								Deron Williams							
","
							$14,940,152						","
							$17,670,389						"
"
						22.
					","

								LeBron James							
","
							$14,500,000						","
							$17,149,801						"
"
						22.
					","

								Chris Bosh							
","
							$14,500,000						","
							$17,149,801						"
"
						24.
					","

								Jason Richardson							
","
							$14,444,444						","
							$17,084,092						"
"
						25.
					","

								Carlos Boozer							
","
							$14,400,000						","
							$17,031,527						"
"
						26.
					","

								Dwyane Wade							
","
							$14,200,000						","
							$16,794,978						"
"
						27.
					","

								Paul Pierce							
","
							$13,876,321						","
							$16,412,148						"
"
						28.
					","

								Andrew Bynum							
","
							$13,700,000						","
							$16,203,605						"
"
						29.
					","

								Rudy Gay							
","
							$13,603,750						","
							$16,089,766						"
"
						30.
					","

								Brandon Roy							
","
							$13,520,500						","
							$15,991,302						"
"
						31.
					","

								Tony Parker							
","
							$13,500,000						","
							$15,967,056						"
"
						32.
					","

								Samuel Dalembert							
","
							$13,428,129						","
							$15,882,051						"
"
						33.
					","

								Antawn Jamison							
","
							$13,358,905						","
							$15,800,177						"
"
						34.
					","

								Nick Collison							
","
							$13,250,000						","
							$15,671,370						"
"
						35.
					","

								Chauncey Billups							
","
							$13,150,000						","
							$15,553,095						"
"
						36.
					","

								Baron Davis							
","
							$13,000,000						","
							$15,375,684						"
"
						36.
					","

								Al Jefferson							
","
							$13,000,000						","
							$15,375,684						"
"
						38.
					","

								Tyson Chandler							
","
							$12,600,000						","
							$14,902,586						"
"
						39.
					","

								Richard Hamilton							
","
							$12,500,000						","
							$14,784,311						"
"
						40.
					","

								Andre Iguodala							
","
							$12,345,250						","
							$14,601,281						"
"
						41.
					","

								Troy Murphy							
","
							$11,968,253						","
							$14,155,390						"
"
						42.
					","

								Manu Ginobili							
","
							$11,854,584						","
							$14,020,949						"
"
						43.
					","

								Chris Kaman							
","
							$11,800,000						","
							$13,956,390						"
"
						44.
					","

								Marcus Camby							
","
							$11,749,832						","
							$13,897,054						"
"
						45.
					","

								Josh Smith							
","
							$11,600,000						","
							$13,719,841						"
"
						46.
					","

								Eddy Curry							
","
							$11,530,592						","
							$13,637,749						"
"
						47.
					","

								Emeka Okafor							
","
							$11,495,000						","
							$13,595,653						"
"
						48.
					","

								Nenê							
","
							$11,360,000						","
							$13,435,982						"
"
						49.
					","

								Luol Deng							
","
							$11,345,000						","
							$13,418,241						"
"
						50.
					","

								LaMarcus Aldridge							
","
							$11,244,000						","
							$13,298,784						"
"
						51.
					","

								Tayshaun Prince							
","
							$11,148,760						","
							$13,186,139						"
"
						52.
					","

								Kevin Martin							
","
							$11,100,005						","
							$13,128,474						"
"
						53.
					","

								Monta Ellis							
","
							$11,000,000						","
							$13,010,194						"
"
						53.
					","

								Andrew Bogut							
","
							$11,000,000						","
							$13,010,194						"
"
						55.
					","

								Danny Granger							
","
							$10,973,202						","
							$12,978,499						"
"
						56.
					","

								Jamal Crawford							
","
							$10,800,000						","
							$12,773,645						"
"
						56.
					","

								Ben Gordon							
","
							$10,800,000						","
							$12,773,645						"
"
						56.
					","

								David Lee							
","
							$10,800,000						","
							$12,773,645						"
"
						59.
					","

								Jason Terry							
","
							$10,650,000						","
							$12,596,233						"
"
						60.
					","

								Mike Dunleavy							
","
							$10,561,984						","
							$12,492,133						"
"
						61.
					","

								Caron Butler							
","
							$10,561,960						","
							$12,492,104						"
"
						62.
					","

								Gerald Wallace							
","
							$10,500,000						","
							$12,418,821						"
"
						63.
					","

								Steve Nash							
","
							$10,310,938						","
							$12,195,209						"
"
						64.
					","

								Hidayet Turkoglu							
","
							$10,215,850						","
							$12,082,744						"
"
						65.
					","

								Ray Allen							
","
							$10,000,000						","
							$11,827,449						"
"
						66.
					","

								Mehmet Okur							
","
							$9,945,000						","
							$11,762,398						"
"
						67.
					","

								Corey Maggette							
","
							$9,600,000						","
							$11,354,351						"
"
						68.
					","

								Maurice Williams							
","
							$9,300,000						","
							$10,999,527						"
"
						69.
					","

								Rajon Rondo							
","
							$9,090,911						","
							$10,752,228						"
"
						70.
					","

								Kirk Hinrich							
","
							$9,000,000						","
							$10,644,704						"
"
						70.
					","

								Boris Diaw							
","
							$9,000,000						","
							$10,644,704						"
"
						70.
					","

								Andris Biedrins							
","
							$9,000,000						","
							$10,644,704						"
"
						70.
					","

								Jose Calderon							
","
							$9,000,000						","
							$10,644,704						"
"
						74.
					","

								Devin Harris							
","
							$8,981,000						","
							$10,622,232						"
"
						75.
					","

								Jason Kidd							
","
							$8,610,500						","
							$10,184,025						"
"
						76.
					","

								TJ Ford							
","
							$8,500,000						","
							$10,053,331						"
"
						76.
					","

								Andrea Bargnani							
","
							$8,500,000						","
							$10,053,331						"
"
						78.
					","

								Stephen Jackson							
","
							$8,453,250						","
							$9,998,038						"
"
						79.
					","

								Richard Jefferson							
","
							$8,400,000						","
							$9,935,057						"
"
						80.
					","

								David West							
","
							$8,287,500						","
							$9,801,998						"
"
						81.
					","

								Lamar Odom							
","
							$8,200,000						","
							$9,698,508						"
"
						82.
					","

								John Salmons							
","
							$8,000,000						","
							$9,461,959						"
"
						83.
					","

								Jameer Nelson							
","
							$7,800,000						","
							$9,225,410						"
"
						84.
					","

								Luis Scola							
","
							$7,775,378						","
							$9,196,288						"
"
						85.
					","

								Marko Jaric							
","
							$7,625,000						","
							$9,018,430						"
"
						86.
					","

								Paul Millsap							
","
							$7,600,000						","
							$8,988,861						"
"
						87.
					","

								Raymond Felton							
","
							$7,500,000						","
							$8,870,587						"
"
						88.
					","

								Joel Przybilla							
","
							$7,405,300						","
							$8,758,581						"
"
						89.
					","

								Shane Battier							
","
							$7,354,500						","
							$8,698,497						"
"
						90.
					","

								Shawn Marion							
","
							$7,305,500						","
							$8,640,543						"
"
						91.
					","

								Anderson Varejao							
","
							$7,281,818						","
							$8,612,533						"
"
						92.
					","

								Andre Miller							
","
							$7,269,264						","
							$8,597,685						"
"
						93.
					","

								JJ Redick							
","
							$7,250,000						","
							$8,574,900						"
"
						94.
					","

								Dan Gadzuric							
","
							$7,248,325						","
							$8,572,919						"
"
						95.
					","

								James Posey							
","
							$7,148,800						","
							$8,455,206						"
"
						96.
					","

								Leandro Barbosa							
","
							$7,100,000						","
							$8,397,489						"
"
						97.
					","

								Charlie Villanueva							
","
							$7,020,000						","
							$8,302,869						"
"
						98.
					","

								Travis Outlaw							
","
							$7,000,000						","
							$8,279,214						"
"
						99.
					","

								Brendan Haywood							
","
							$6,900,000						","
							$8,160,940						"
"
						100.
					","

								Vladimir Radmanovic							
","
							$6,883,800						","
							$8,141,779						"
"
						100.
					","

								Jared Jeffries							
","
							$6,883,800						","
							$8,141,779						"
"
						100.
					","

								Nazr Mohammed							
","
							$6,883,800						","
							$8,141,779						"
"
						103.
					","

								Andres Nocioni							
","
							$6,850,000						","
							$8,101,802						"
"
						104.
					","

								Greg Oden							
","
							$6,760,524						","
							$7,995,975						"
"
						105.
					","

								JR Smith							
","
							$6,757,851						","
							$7,992,814						"
"
						106.
					","

								Marvin Williams							
","
							$6,712,500						","
							$7,939,175						"
"
						107.
					","

								Morris Peterson							
","
							$6,665,000						","
							$7,882,994						"
"
						108.
					","

								Jeff Foster							
","
							$6,655,000						","
							$7,871,167						"
"
						109.
					","

								Jason Kapono							
","
							$6,641,440						","
							$7,855,129						"
"
						110.
					","

								Tyrus Thomas							
","
							$6,611,570						","
							$7,819,800						"
"
						111.
					","

								Josh Childress							
","
							$6,500,000						","
							$7,687,842						"
"
						112.
					","

								DeSagana Diop							
","
							$6,478,600						","
							$7,662,531						"
"
						112.
					","

								Beno Udrih							
","
							$6,478,600						","
							$7,662,531						"
"
						114.
					","

								Rasheed Wallace							
","
							$6,322,320						","
							$7,477,691						"
"
						114.
					","

								Metta World Peace							
","
							$6,322,320						","
							$7,477,691						"
"
						114.
					","

								Trevor Ariza							
","
							$6,322,320						","
							$7,477,691						"
"
						114.
					","

								Marcin Gortat							
","
							$6,322,320						","
							$7,477,691						"
"
						118.
					","

								Kevin Durant							
","
							$6,053,663						","
							$7,159,939						"
"
						119.
					","

								Andray Blatche							
","
							$5,900,000						","
							$6,978,195						"
"
						120.
					","

								Jermaine O'Neal							
","
							$5,765,000						","
							$6,818,524						"
"
						120.
					","

								Al Harrington							
","
							$5,765,000						","
							$6,818,524						"
"
						120.
					","

								Wesley Matthews							
","
							$5,765,000						","
							$6,818,524						"
"
						123.
					","

								Drew Gooden							
","
							$5,760,000						","
							$6,812,610						"
"
						124.
					","

								Kyle Lowry							
","
							$5,750,000						","
							$6,800,783						"
"
						125.
					","

								Mike Bibby							
","
							$5,564,767						","
							$6,581,699						"
"
						126.
					","

								Derrick Rose							
","
							$5,546,160						","
							$6,559,692						"
"
						127.
					","

								Nenad Krstic							
","
							$5,543,116						","
							$6,556,092						"
"
						128.
					","

								Jamaal Tinsley							
","
							$5,500,000						","
							$6,505,097						"
