Player,2021/2022
,Player,"
							2021/22						","
							2022/23						","
							2023/24						","
							2024/25						","
							2025/26						","
							2026/27						"
"
						189.
					","

								Dennis Schroeder							
","
							$5,890,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						192.
					","

								Kevin Knox							
","
							$5,845,978						","
							$7,921,300						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						193.
					","

								Coby White							
","
							$5,837,760						","
							$7,413,955						","
							$9,942,113						","
							$0						","
							$0						","
							$0						"
"
						194.
					","

								Timofey Mozgov							
","
							$5,573,333						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						195.
					","

								Killian Hayes							
","
							$5,572,680						","
							$5,837,760						","
							$7,413,955						","
							$9,942,114						","
							$0						","
							$0						"
"
						196.
					","

								Mikal Bridges							
","
							$5,557,725						","
							$20,100,000						","
							$21,700,000						","
							$23,300,000						","
							$24,900,000						","
							$0						"
"
						197.
					","

								Shai Gilgeous-Alexander							
","
							$5,495,532						","
							$29,750,000						","
							$32,130,000						","
							$34,510,000						","
							$36,890,000						","
							$39,270,000						"
"
						198.
					","

								Jonathan Kuminga							
","
							$5,466,360						","
							$5,739,840						","
							$6,012,840						","
							$7,636,307						","
							$10,240,287						","
							$0						"
"
						199.
					","

								Miles Bridges							
","
							$5,421,493						","
							$7,469,530						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						200.
					","

								Jaxson Hayes							
","
							$5,348,280						","
							$6,803,012						","
							$9,170,460						","
							$0						","
							$0						","
							$0						"
"
						201.
					","

								Pat Connaughton							
","
							$5,333,334						","
							$5,728,393						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						202.
					","

								George Hill							
","
							$5,275,491						","
							$4,000,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						203.
					","

								Michael Porter							
","
							$5,258,735						","
							$29,750,000						","
							$32,130,000						","
							$34,510,000						","
							$36,890,000						","
							$39,270,000						"
"
						204.
					","

								Dewayne Dedmon							
","
							$5,256,308						","
							$2,866,667						","
							$2,866,667						","
							$2,866,667						","
							$0						","
							$0						"
"
						205.
					","

								Ryan Anderson							
","
							$5,214,583						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						206.
					","

								Hamidou Diallo							
","
							$5,200,000						","
							$5,200,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						207.
					","

								Kevon Looney							
","
							$5,178,572						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						208.
					","

								Troy Brown							
","
							$5,170,564						","
							$7,228,448						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						209.
					","

								Obi Toppin							
","
							$5,105,160						","
							$5,348,280						","
							$6,803,012						","
							$9,170,460						","
							$0						","
							$0						"
"
						210.
					","

								Franz Wagner							
","
							$5,007,840						","
							$5,258,280						","
							$5,508,720						","
							$7,007,092						","
							$9,445,560						","
							$0						"
"
						211.
					","

								Josh Jackson							
","
							$5,005,350						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						211.
					","

								Kris Dunn							
","
							$5,005,350						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						213.
					","

								Kendrick Nunn							
","
							$5,000,000						","
							$5,250,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						213.
					","

								Louis Williams							
","
							$5,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						213.
					","

								Luol Deng							
","
							$5,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						213.
					","

								Robin Lopez							
","
							$5,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						213.
					","

								JaVale McGee							
","
							$5,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						218.
					","

								Rui Hachimura							
","
							$4,916,160						","
							$6,263,188						","
							$8,486,619						","
							$0						","
							$0						","
							$0						"
"
						219.
					","

								Garrett Temple							
","
							$4,910,000						","
							$5,155,500						","
							$5,401,000						","
							$0						","
							$0						","
							$0						"
"
						219.
					","

								Taj Gibson							
","
							$4,910,000						","
							$5,155,500						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						221.
					","

								Torrey Craig							
","
							$4,878,049						","
							$5,121,951						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						222.
					","

								Bruce Brown							
","
							$4,736,102						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						223.
					","

								Deni Avdija							
","
							$4,692,840						","
							$4,916,160						","
							$6,263,188						","
							$8,486,619						","
							$0						","
							$0						"
"
						224.
					","

								Donte DiVincenzo							
","
							$4,675,830						","
							$6,610,599						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						225.
					","

								Cam Reddish							
","
							$4,670,160						","
							$5,954,454						","
							$8,109,966						","
							$0						","
							$0						","
							$0						"
"
						226.
					","

								David Nwaba							
","
							$4,650,000						","
							$5,022,000						","
							$5,394,000						","
							$0						","
							$0						","
							$0						"
"
						227.
					","

								Furkan Korkmaz							
","
							$4,629,630						","
							$5,000,000						","
							$5,370,370						","
							$0						","
							$0						","
							$0						"
"
						228.
					","

								Davion Mitchell							
","
							$4,603,200						","
							$4,833,600						","
							$5,063,640						","
							$6,451,077						","
							$8,741,210						","
							$0						"
"
						229.
					","

								Ishmael Smith							
","
							$4,500,000						","
							$4,725,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						229.
					","

								Jeff Green							
","
							$4,500,000						","
							$4,500,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						229.
					","

								Bryn Forbes							
","
							$4,500,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						232.
					","

								Chandler Hutchison							
","
							$4,482,088						","
							$1,576,305						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						233.
					","

								Jalen Smith							
","
							$4,458,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						234.
					","

								Lonnie Walker							
","
							$4,453,617						","
							$6,319,683						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						235.
					","

								Cameron Johnson							
","
							$4,437,000						","
							$5,887,899						","
							$8,060,533						","
							$0						","
							$0						","
							$0						"
"
						236.
					","

								Ziaire Williams							
","
							$4,373,040						","
							$4,591,680						","
							$4,810,200						","
							$6,133,005						","
							$8,353,152						","
							$0						"
"
						237.
					","

								Bobby Portis							
","
							$4,347,600						","
							$4,564,980						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						237.
					","

								Moe Harkless							
","
							$4,347,600						","
							$4,564,980						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						239.
					","

								Kevin Huerter							
","
							$4,253,357						","
							$14,508,929						","
							$15,669,643						","
							$16,830,357						","
							$17,991,071						","
							$0						"
"
						240.
					","

								Devin Vassell							
","
							$4,235,160						","
							$4,437,000						","
							$5,887,899						","
							$8,060,534						","
							$0						","
							$0						"
"
						241.
					","

								PJ Washington							
","
							$4,215,120						","
							$5,808,435						","
							$7,992,407						","
							$0						","
							$0						","
							$0						"
"
						242.
					","

								James Bouknight							
","
							$4,154,400						","
							$4,362,240						","
							$4,570,080						","
							$6,064,496						","
							$8,302,295						","
							$0						"
"
						243.
					","

								Willie Cauley-Stein							
","
							$4,100,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						244.
					","

								Josh Okogie							
","
							$4,087,904						","
							$5,857,966						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						245.
					","

								Sekou Doumbouya							
","
							$4,076,309						","
							$1,576,305						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						246.
					","

								Grayson Allen							
","
							$4,054,695						","
							$9,350,000						","
							$9,350,000						","
							$0						","
							$0						","
							$0						"
"
						247.
					","

								Jarred Vanderbilt							
","
							$4,050,000						","
							$4,374,000						","
							$4,698,000						","
							$0						","
							$0						","
							$0						"
"
						248.
					","

								Tyrese Haliburton							
","
							$4,023,600						","
							$4,215,120						","
							$5,808,435						","
							$7,992,406						","
							$0						","
							$0						"
"
						249.
					","

								Tyler Herro							
","
							$4,004,280						","
							$5,722,116						","
							$7,913,686						","
							$0						","
							$0						","
							$0						"
"
						250.
					","

								Terence Davis							
","
							$4,000,000						","
							$4,000,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						250.
					","

								Gorgui Dieng							
","
							$4,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						250.
					","

								Dorian Finney-Smith							
","
							$4,000,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						253.
					","

								Aaron Holiday							
","
							$3,980,551						","
							$5,791,701						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						254.
					","

								Josh Primo							
","
							$3,946,800						","
							$4,144,320						","
							$4,341,600						","
							$5,982,725						","
							$8,232,229						","
							$0						"
"
						255.
					","

								Jake Layman							
","
							$3,940,184						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						256.
					","

								Anfernee Simons							
","
							$3,938,818						","
							$5,758,551						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						257.
					","

								Justise Winslow							
","
							$3,902,439						","
							$4,097,561						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						258.
					","

								Danuel House							
","
							$3,894,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						259.
					","

								Kira Lewis							
","
							$3,822,240						","
							$4,004,280						","
							$5,722,116						","
							$7,913,686						","
							$0						","
							$0						"
"
						260.
					","

								Romeo Langford							
","
							$3,804,360						","
							$5,634,257						","
							$7,837,251						","
							$0						","
							$0						","
							$0						"
"
						261.
					","

								Landry Shamet							
","
							$3,768,342						","
							$9,500,000						","
							$10,250,000						","
							$11,000,000						","
							$11,750,000						","
							$0						"
"
						262.
					","

								Chris Duarte							
","
							$3,749,400						","
							$3,936,960						","
							$4,124,400						","
							$5,893,768						","
							$8,151,081						","
							$0						"
"
						263.
					","

								Alex Len							
","
							$3,732,000						","
							$3,918,600						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						264.
					","

								Gabriel Deck							
","
							$3,676,852						","
							$3,483,334						","
							$3,483,334						","
							$0						","
							$0						","
							$0						"
"
						265.
					","

								Robert Williams							
","
							$3,661,976						","
							$10,714,287						","
							$11,571,429						","
							$12,428,571						","
							$13,285,713						","
							$0						"
"
						266.
					","

								Jevon Carter							
","
							$3,650,000						","
							$3,925,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						267.
					","

								Aaron Nesmith							
","
							$3,631,200						","
							$3,804,360						","
							$5,634,257						","
							$7,837,251						","
							$0						","
							$0						"
"
						268.
					","

								Moses Moody							
","
							$3,562,200						","
							$3,740,160						","
							$3,918,480						","
							$5,803,269						","
							$8,072,347						","
							$0						"
"
						269.
					","

								Boban Marjanovic							
","
							$3,500,000						","
							$3,500,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						269.
					","

								Mike Muscala							
","
							$3,500,000						","
							$3,500,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						271.
					","

								Cole Anthony							
","
							$3,449,400						","
							$3,613,680						","
							$5,539,771						","
							$7,744,600						","
							$0						","
							$0						"
"
						272.
					","

								Luka Samanic							
","
							$3,421,709						","
							$1,576,305						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						273.
					","

								Corey Kispert							
","
							$3,383,640						","
							$3,552,840						","
							$3,722,040						","
							$5,705,887						","
							$7,976,830						","
							$0						"
"
						274.
					","

								Georges Niang							
","
							$3,300,000						","
							$3,465,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						274.
					","

								Michael Carter-Williams							
","
							$3,300,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						276.
					","

								Isaiah Stewart							
","
							$3,277,080						","
							$3,433,320						","
							$5,266,713						","
							$7,399,731						","
							$0						","
							$0						"
"
						276.
					","

								Chuma Okeke							
","
							$3,277,080						","
							$3,433,320						","
							$5,266,712						","
							$7,399,731						","
							$0						","
							$0						"
"
						278.
					","

								Nickeil Alexander-Walker							
","
							$3,261,480						","
							$5,009,633						","
							$7,073,602						","
							$0						","
							$0						","
							$0						"
"
						279.
					","

								Alperen Sengun							
","
							$3,214,680						","
							$3,375,360						","
							$3,536,280						","
							$5,424,654						","
							$7,621,638						","
							$0						"
"
						280.
					","

								Facundo Campazzo							
","
							$3,200,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						281.
					","

								Jon Leuer							
","
							$3,169,348						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						282.
					","

								Trey Burke							
","
							$3,150,000						","
							$3,300,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						283.
					","

								Aleksej Pokusevski							
","
							$3,113,160						","
							$3,261,480						","
							$5,009,633						","
							$7,073,602						","
							$0						","
							$0						"
"
						284.
					","

								Goga Bitadze							
","
							$3,098,400						","
							$4,765,339						","
							$6,762,016						","
							$0						","
							$0						","
							$0						"
"
						285.
					","

								Trey Murphy							
","
							$3,053,760						","
							$3,206,520						","
							$3,359,280						","
							$5,159,854						","
							$7,285,713						","
							$0						"
"
						286.
					","

								Sterling Brown							
","
							$3,000,000						","
							$3,000,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						286.
					","

								Frank Jackson							
","
							$3,000,000						","
							$3,150,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						288.
					","

								Josh Green							
","
							$2,957,520						","
							$3,098,400						","
							$4,765,339						","
							$6,762,016						","
							$0						","
							$0						"
"
						289.
					","

								Tre Mann							
","
							$2,901,240						","
							$3,046,200						","
							$3,191,400						","
							$4,908,373						","
							$6,964,982						","
							$0						"
"
						290.
					","

								Andrew Nicholson							
","
							$2,844,429						","
							$2,844,429						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						291.
					","

								Matisse Thybulle							
","
							$2,840,160						","
							$4,379,526						","
							$6,275,861						","
							$0						","
							$0						","
							$0						"
"
						292.
					","

								Saddiq Bey							
","
							$2,824,320						","
							$2,959,080						","
							$4,556,983						","
							$6,498,258						","
							$0						","
							$0						"
"
						293.
					","

								Kai Jones							
","
							$2,770,560						","
							$2,909,040						","
							$3,047,880						","
							$4,693,735						","
							$6,693,266						","
							$0						"
"
						294.
					","

								Brandon Clarke							
","
							$2,726,880						","
							$4,343,919						","
							$6,259,588						","
							$0						","
							$0						","
							$0						"
"
						295.
					","

								Precious Achiuwa							
","
							$2,711,280						","
							$2,840,160						","
							$4,379,526						","
							$6,275,861						","
							$0						","
							$0						"
"
						296.
					","

								Marc Gasol							
","
							$2,692,991						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						297.
					","

								Jalen Johnson							
","
							$2,659,680						","
							$2,792,640						","
							$2,925,360						","
							$4,510,905						","
							$6,464,127						","
							$0						"
"
						298.
					","

								Enes Kanter							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								LaMarcus Aldridge							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								James Johnson							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Paul Millsap							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Ed Davis							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Andre Iguodala							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Carmelo Anthony							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Trevor Ariza							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Avery Bradley							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Wayne Ellington							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Dwight Howard							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Udonis Haslem							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								Markieff Morris							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						298.
					","

								E'Twaun Moore							
","
							$2,641,691						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						312.
					","

								Grant Williams							
","
							$2,617,800						","
							$4,306,281						","
							$6,235,494						","
							$0						","
							$0						","
							$0						"
"
						313.
					","

								Tyrese Maxey							
","
							$2,602,920						","
							$2,726,880						","
							$4,343,920						","
							$6,259,588						","
							$0						","
							$0						"
"
						314.
					","

								Keon Johnson							
","
							$2,553,240						","
							$2,681,040						","
							$2,808,720						","
							$4,474,291						","
							$6,447,453						","
							$0						"
"
						315.
					","

								Darius Bazley							
","
							$2,513,040						","
							$4,264,628						","
							$6,205,035						","
							$0						","
							$0						","
							$0						"
"
						316.
					","

								Trey Lyles							
","
							$2,500,000						","
							$2,625,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						317.
					","

								Zeke Nnaji							
","
							$2,498,760						","
							$2,617,800						","
							$4,306,281						","
							$6,235,495						","
							$0						","
							$0						"
"
						318.
					","

								Isaiah Jackson							
","
							$2,451,240						","
							$2,573,760						","
							$2,696,280						","
							$4,435,380						","
							$6,422,431						","
							$0						"
"
						319.
					","

								Ty Jerome							
","
							$2,412,840						","
							$4,220,057						","
							$6,169,723						","
							$0						","
							$0						","
							$0						"
"
						320.
					","

								Austin Rivers							
","
							$2,401,537						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						320.
					","

								Kent Bazemore							
","
							$2,401,537						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						320.
					","

								Andre Drummond							
","
							$2,401,537						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						320.
					","

								Hassan Whiteside							
","
							$2,401,537						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						324.
					","

								Solomon Hill							
","
							$2,389,641						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						324.
					","

								Otto Porter							
","
							$2,389,641						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						324.
					","

								Victor Oladipo							
","
							$2,389,641						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						324.
					","

								Ben McLemore							
","
							$2,389,641						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						324.
					","

								Tony Snell							
","
							$2,389,641						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						324.
					","

								Cody Zeller							
","
							$2,389,641						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						330.
					","

								Usman Garuba							
","
							$2,353,320						","
							$2,471,160						","
							$2,588,400						","
							$4,392,515						","
							$6,391,109						","
							$0						"
"
						330.
					","

								Leandro Bolmaro							
","
							$2,353,320						","
							$2,471,160						","
							$2,588,400						","
							$4,392,515						","
							$6,391,109						","
							$0						"
"
						332.
					","

								Willy Hernangomez							
","
							$2,327,220						","
							$2,443,581						","
							$2,559,942						","
							$0						","
							$0						","
							$0						"
"
						333.
					","

								Edmond Sumner							
","
							$2,320,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						334.
					","

								Nassir Little							
","
							$2,316,240						","
							$4,171,548						","
							$6,128,004						","
							$0						","
							$0						","
							$0						"
"
						335.
					","

								RJ Hampton							
","
							$2,303,040						","
							$2,412,840						","
							$4,220,057						","
							$6,169,723						","
							$0						","
							$0						"
"
						336.
					","

								Josh Christopher							
","
							$2,259,240						","
							$2,372,160						","
							$2,485,200						","
							$4,346,615						","
							$6,354,751						","
							$0						"
"
						337.
					","

								Monta Ellis							
","
							$2,245,400						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						338.
					","

								Rodney Hood							
","
							$2,239,544						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						338.
					","

								Elfrid Payton							
","
							$2,239,544						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						340.
					","

								Dylan Windler							
","
							$2,239,200						","
							$4,037,277						","
							$5,959,021						","
							$0						","
							$0						","
							$0						"
"
						341.
					","

								Immanuel Quickley							
","
							$2,210,640						","
							$2,316,240						","
							$4,171,548						","
							$6,128,004						","
							$0						","
							$0						"
"
						342.
					","

								John Konchar							
","
							$2,200,000						","
							$2,300,000						","
							$2,400,000						","
							$0						","
							$0						","
							$0						"
"
						343.
					","

								Quentin Grimes							
","
							$2,168,640						","
							$2,277,000						","
							$2,385,720						","
							$4,296,682						","
							$6,311,825						","
							$0						"
"
						344.
					","

								Jordan Poole							
","
							$2,161,440						","
							$3,901,399						","
							$5,813,084						","
							$0						","
							$0						","
							$0						"
"
						345.
					","

								Bol Bol							
","
							$2,161,152						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						346.
					","

								Keldon Johnson							
","
							$2,145,720						","
							$3,873,024						","
							$5,809,536						","
							$0						","
							$0						","
							$0						"
"
						347.
					","

								Payton Pritchard							
","
							$2,137,440						","
							$2,239,200						","
							$4,037,277						","
							$5,959,021						","
							$0						","
							$0						"
"
						348.
					","

								Jahlil Okafor							
","
							$2,130,023						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						349.
					","

								Bones Hyland							
","
							$2,096,880						","
							$2,201,520						","
							$2,306,400						","
							$4,158,439						","
							$6,137,856						","
							$0						"
"
						350.
					","

								Nemanja Bjelica							
","
							$2,089,448						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						350.
					","

								Frank Kaminsky							
","
							$2,089,448						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						350.
					","

								Raul Neto							
","
							$2,089,448						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						353.
					","

								Udoka Azubuike							
","
							$2,075,880						","
							$2,174,880						","
							$3,923,483						","
							$5,818,526						","
							$0						","
							$0						"
"
						354.
					","

								Jaden McDaniels							
","
							$2,063,280						","
							$2,161,440						","
							$3,901,399						","
							$5,813,084						","
							$0						","
							$0						"
"
						355.
					","

								Malachi Flynn							
","
							$2,048,040						","
							$2,145,720						","
							$3,873,024						","
							$5,809,537						","
							$0						","
							$0						"
"
						356.
					","

								Cam Thomas							
","
							$2,036,280						","
							$2,138,160						","
							$2,240,160						","
							$4,041,249						","
							$5,993,172						","
							$0						"
"
						357.
					","

								Desmond Bane							
","
							$2,033,160						","
							$2,130,240						","
							$3,845,083						","
							$5,767,625						","
							$0						","
							$0						"
"
						358.
					","

								Jaden Springer							
","
							$2,023,680						","
							$2,125,200						","
							$2,226,240						","
							$4,018,363						","
							$5,987,361						","
							$0						"
"
						359.
					","

								Day'Ron Sharpe							
","
							$2,009,160						","
							$2,109,480						","
							$2,210,040						","
							$3,989,122						","
							$5,983,683						","
							$0						"
"
						360.
					","

								Jordan McLaughlin							
","
							$2,000,000						","
							$2,160,000						","
							$2,320,000						","
							$0						","
							$0						","
							$0						"
"
						360.
					","

								Jeremiah Robinson-Earl							
","
							$2,000,000						","
							$2,000,000						","
							$1,900,000						","
							$1,988,598						","
							$0						","
							$0						"
"
						360.
					","

								Kenrich Williams							
","
							$2,000,000						","
							$2,000,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						360.
					","

								Theo Maledon							
","
							$2,000,000						","
							$1,900,000						","
							$1,930,681						","
							$0						","
							$0						","
							$0						"
"
						360.
					","

								Abdel Nader							
","
							$2,000,000						","
							$2,160,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						365.
					","

								Santiago Aldama							
","
							$1,994,520						","
							$2,094,120						","
							$2,194,200						","
							$3,960,531						","
							$5,940,797						","
							$0						"
"
						366.
					","

								Damian Jones							
","
							$1,977,011						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						367.
					","

								Denzel Valentine							
","
							$1,939,350						","
							$2,193,920						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						367.
					","

								Timothe Luwawu							
","
							$1,939,350						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						367.
					","

								Rodney McGruder							
","
							$1,939,350						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						370.
					","

								PJ Dozier							
","
							$1,910,860						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						370.
					","

								Damion Lee							
","
							$1,910,860						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						372.
					","

								Larry Sanders							
","
							$1,865,546						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						373.
					","

								Shake Milton							
","
							$1,846,738						","
							$1,997,718						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						374.
					","

								Wesley Iwundu							
","
							$1,824,003						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						375.
					","

								Jalen Brunson							
","
							$1,802,057						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						375.
					","

								Mitchell Robinson							
","
							$1,802,057						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						377.
					","

								Tony Bradley							
","
							$1,789,256						","
							$2,036,318						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						377.
					","

								Frank Ntilikina							
","
							$1,789,256						","
							$2,036,318						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						377.
					","

								Malik Monk							
","
							$1,789,256						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						377.
					","

								Semi Ojeleye							
","
							$1,789,256						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						377.
					","

								Dennis Smith							
","
							$1,789,256						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						382.
					","

								Didi Louzada							
","
							$1,786,878						","
							$1,876,222						","
							$1,965,566						","
							$2,057,646						","
							$0						","
							$0						"
"
						383.
					","

								Kevin Porter							
","
							$1,782,621						","
							$3,217,631						","
							$4,826,446						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Jalen McDaniels							
","
							$1,782,621						","
							$1,930,681						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Terance Mann							
","
							$1,782,621						","
							$1,930,681						","
							$10,576,923						","
							$11,423,077						","
							$0						","
							$0						"
"
						383.
					","

								Jaylen Nowell							
","
							$1,782,621						","
							$1,930,681						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Naz Reid							
","
							$1,782,621						","
							$1,930,681						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Isaiah Roby							
","
							$1,782,621						","
							$1,930,681						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Daniel Gafford							
","
							$1,782,621						","
							$1,930,681						","
							$12,402,000						","
							$13,394,160						","
							$14,386,320						","
							$0						"
"
						383.
					","

								Bruno Fernando							
","
							$1,782,621						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Nicolas Claxton							
","
							$1,782,621						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Cody Martin							
","
							$1,782,621						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Dean Wade							
","
							$1,782,621						","
							$1,930,681						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Vlatko Cancar							
","
							$1,782,621						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						383.
					","

								Carsen Edwards							
","
							$1,782,621						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
