Player,2021/2022
,Player,"
							2021/22						","
							2022/23						","
							2023/24						","
							2024/25						","
							2025/26						","
							2026/27						"
"
						45.
					","

								Draymond Green							
","
							$24,026,712						","
							$25,806,468						","
							$27,586,224						","
							$0						","
							$0						","
							$0						"
"
						46.
					","

								Nikola Vucevic							
","
							$24,000,000						","
							$22,000,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						47.
					","

								Buddy Hield							
","
							$23,073,234						","
							$21,177,750						","
							$19,279,841						","
							$0						","
							$0						","
							$0						"
"
						48.
					","

								John Collins							
","
							$23,000,000						","
							$23,500,000						","
							$25,340,000						","
							$26,580,000						","
							$26,580,000						","
							$0						"
"
						49.
					","

								Julius Randle							
","
							$21,780,000						","
							$26,136,000						","
							$28,226,880						","
							$30,317,760						","
							$32,408,640						","
							$0						"
"
						50.
					","

								Malcolm Brogdon							
","
							$21,700,000						","
							$22,600,000						","
							$22,500,000						","
							$22,500,000						","
							$0						","
							$0						"
"
						51.
					","

								Tim Hardaway Jr							
","
							$21,306,816						","
							$19,602,273						","
							$17,897,728						","
							$16,193,183						","
							$0						","
							$0						"
"
						52.
					","

								Mike Conley							
","
							$21,000,000						","
							$22,680,000						","
							$24,360,000						","
							$0						","
							$0						","
							$0						"
"
						53.
					","

								Gary Harris							
","
							$20,932,143						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						54.
					","

								Danilo Gallinari							
","
							$20,475,000						","
							$21,450,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						55.
					","

								Harrison Barnes							
","
							$20,284,091						","
							$18,352,273						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						56.
					","

								Jerami Grant							
","
							$20,002,500						","
							$20,955,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						57.
					","

								Jarrett Allen							
","
							$20,000,000						","
							$20,000,000						","
							$20,000,000						","
							$20,000,000						","
							$20,000,000						","
							$0						"
"
						58.
					","

								Fred VanVleet							
","
							$19,675,926						","
							$21,250,000						","
							$22,824,074						","
							$0						","
							$0						","
							$0						"
"
						59.
					","

								Zach LaVine							
","
							$19,500,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						60.
					","

								Goran Dragic							
","
							$19,440,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						61.
					","

								Bojan Bogdanovic							
","
							$18,700,000						","
							$19,550,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						62.
					","

								Lonzo Ball							
","
							$18,604,651						","
							$19,534,884						","
							$20,465,117						","
							$21,395,348						","
							$0						","
							$0						"
"
						63.
					","

								Clint Capela							
","
							$18,603,448						","
							$19,706,896						","
							$22,116,000						","
							$23,765,280						","
							$0						","
							$0						"
"
						64.
					","

								Domantas Sabonis							
","
							$18,500,000						","
							$18,500,000						","
							$19,400,000						","
							$0						","
							$0						","
							$0						"
"
						65.
					","

								Eric Gordon							
","
							$18,218,818						","
							$19,568,360						","
							$20,917,902						","
							$0						","
							$0						","
							$0						"
"
						66.
					","

								Eric Bledsoe							
","
							$18,125,000						","
							$19,375,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						67.
					","

								Bogdan Bogdanovic							
","
							$18,000,000						","
							$18,000,000						","
							$18,000,000						","
							$0						","
							$0						","
							$0						"
"
						67.
					","

								Myles Turner							
","
							$18,000,000						","
							$18,000,000						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						69.
					","

								Terry Rozier							
","
							$17,905,263						","
							$21,486,316						","
							$23,205,221						","
							$24,924,126						","
							$26,643,031						","
							$0						"
"
						70.
					","

								Ricky Rubio							
","
							$17,800,000						","
							$0						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						71.
					","

								Caris LeVert							
","
							$17,500,000						","
							$18,796,296						","
							$0						","
							$0						","
							$0						","
							$0						"
"
						72.
					","

								Jonathan Isaac							
","
							$17,400,000						","
							$17,400,000						","
							$17,400,000						","
							$17,400,000						","
							$0						","
							$0						"
"
						73.
					","

								Joe Harris							
","
							$17,357,143						","
							$18,642,857						","
							$19,928,571						","
							$0						","
							$0						","
							$0						"
"
						74.
					","

								Evan Fournier							
","
							$17,142,857						","
							$18,000,000						","
							$18,857,143						","
							$19,000,000						","
							$0						","
							$0						"
"
						74.
					","

								Spencer Dinwiddie							
","
							$17,142,857						","
							$18,000,000						","
							$18,857,143						","
							$0						","
							$0						","
							$0						"
"
						76.
					","

								Steven Adams							
","
							$17,073,171						","
							$17,926,829						","
							$0						","
							$0						","
							$0						","
							$0						"
