Player,2008-2009
,Player,"
							2008/09						","
							2008/09(*)						"
"
						77.
					","

								Cuttino Mobley							
","
							$9,100,000						","
							$10,721,169						"
"
						78.
					","

								Mike Miller							
","
							$9,028,575						","
							$10,637,020						"
"
						79.
					","

								Boris Diaw							
","
							$9,000,000						","
							$10,603,354						"
"
						79.
					","

								Andris Biedrins							
","
							$9,000,000						","
							$10,603,354						"
"
						79.
					","

								Mike Dunleavy							
","
							$9,000,000						","
							$10,603,354						"
"
						82.
					","

								Antoine Walker							
","
							$8,854,475						","
							$10,431,904						"
"
						83.
					","

								Kevin Martin							
","
							$8,760,335						","
							$10,320,992						"
"
						84.
					","

								Quentin Richardson							
","
							$8,685,500						","
							$10,232,826						"
"
						85.
					","

								Jamal Crawford							
","
							$8,640,000						","
							$10,179,220						"
"
						86.
					","

								Kenny Thomas							
","
							$8,562,500						","
							$10,087,913						"
"
						87.
					","

								Mark Blount							
","
							$8,513,916						","
							$10,030,674						"
"
						88.
					","

								Mehmet Okur							
","
							$8,500,000						","
							$10,014,279						"
"
						89.
					","

								Radoslav Nesterovic							
","
							$8,400,000						","
							$9,896,464						"
"
						90.
					","

								Juwan Howard							
","
							$8,355,619						","
							$9,844,175						"
"
						91.
					","

								Maurice Williams							
","
							$8,353,000						","
							$9,841,091						"
"
						92.
					","

								Corey Maggette							
","
							$8,275,862						","
							$9,750,210						"
"
						93.
					","

								Adonal Foyle							
","
							$8,062,275						","
							$9,498,572						"
"
						94.
					","

								TJ Ford							
","
							$8,000,000						","
							$9,425,203						"
"
						94.
					","

								Andres Nocioni							
","
							$8,000,000						","
							$9,425,203						"
"
						96.
					","

								Devin Harris							
","
							$7,800,000						","
							$9,189,573						"
"
						97.
					","

								Jameer Nelson							
","
							$7,700,000						","
							$9,071,758						"
"
						98.
					","

								Malik Rose							
","
							$7,647,500						","
							$9,009,905						"
"
						99.
					","

								Jose Calderon							
","
							$7,438,018						","
							$8,763,104						"
"
						100.
					","

								Metta World Peace							
","
							$7,400,000						","
							$8,718,313						"
"
						101.
					","

								Eric Snow							
","
							$7,312,500						","
							$8,615,225						"
"
						102.
					","

								Donyell Marshall							
","
							$7,213,169						","
							$8,498,197						"
"
						103.
					","

								Drew Gooden							
","
							$7,151,183						","
							$8,425,169						"
"
						104.
					","

								Stephen Jackson							
","
							$7,140,000						","
							$8,411,994						"
