Player,2019-2020
,Player,"
							2019/20						","
							2019/20(*)						"
"
						1.
					","

								Stephen Curry							
","
							$40,231,758						","
							$40,491,547						"
"
						2.
					","

								Russell Westbrook							
","
							$38,506,482						","
							$38,755,131						"
"
						2.
					","

								Chris Paul							
","
							$38,506,482						","
							$38,755,131						"
"
						4.
					","

								James Harden							
","
							$38,199,000						","
							$38,445,663						"
"
						4.
					","

								John Wall							
","
							$38,199,000						","
							$38,445,663						"
"
						6.
					","

								LeBron James							
","
							$37,436,858						","
							$37,678,600						"
"
						7.
					","

								Kevin Durant							
","
							$37,199,000						","
							$37,439,206						"
"
						8.
					","

								Blake Griffin							
","
							$34,449,964						","
							$34,672,418						"
"
						9.
					","

								Kyle Lowry							
","
							$33,296,296						","
							$33,511,301						"
"
						10.
					","

								Paul George							
","
							$33,005,556						","
							$33,218,683						"
"
						11.
					","

								Kemba Walker							
","
							$32,742,000						","
							$32,953,425						"
"
						11.
					","

								Klay Thompson							
","
							$32,742,000						","
							$32,953,425						"
"
						11.
					","

								Kawhi Leonard							
","
							$32,742,000						","
							$32,953,425						"
"
						11.
					","

								Jimmy Butler							
","
							$32,742,000						","
							$32,953,425						"
"
						11.
					","

								Tobias Harris							
","
							$32,742,000						","
							$32,953,425						"
"
						16.
					","

								Gordon Hayward							
","
							$32,700,690						","
							$32,911,849						"
"
						17.
					","

								Mike Conley							
","
							$32,511,623						","
							$32,721,561						"
"
						18.
					","

								Kyrie Irving							
","
							$31,742,000						","
							$31,946,968						"
"
						19.
					","

								Khris Middleton							
","
							$30,603,448						","
							$30,801,064						"
"
						20.
					","

								Paul Millsap							
","
							$30,350,000						","
							$30,545,979						"
"
						21.
					","

								Damian Lillard							
","
							$29,802,321						","
							$29,994,764						"
"
						22.
					","

								Kevin Love							
","
							$28,942,830						","
							$29,129,723						"
"
						23.
					","

								Nikola Vucevic							
","
							$28,000,000						","
							$28,180,805						"
"
						23.
					","

								Al Horford							
","
							$28,000,000						","
							$28,180,805						"
"
						25.
					","

								DeMar DeRozan							
","
							$27,739,975						","
							$27,919,101						"
"
						26.
					","

								CJ McCollum							
","
							$27,556,959						","
							$27,734,903						"
"
						27.
					","

								Nikola Jokic							
","
							$27,504,630						","
							$27,682,236						"
"
						27.
					","

								Andrew Wiggins							
","
							$27,504,630						","
							$27,682,236						"
"
						27.
					","

								Joel Embiid							
","
							$27,504,630						","
							$27,682,236						"
"
						30.
					","

								Kristaps Porzingis							
","
							$27,285,000						","
							$27,461,188						"
"
						30.
					","

								D'Angelo Russell							
","
							$27,285,000						","
							$27,461,188						"
"
						30.
					","

								Karl-Anthony Towns							
","
							$27,285,000						","
							$27,461,188						"
"
						30.
					","

								Devin Booker							
","
							$27,285,000						","
							$27,461,188						"
"
						34.
					","

								Otto Porter							
","
							$27,250,576						","
							$27,426,541						"
"
						35.
					","

								Anthony Davis							
","
							$27,093,019						","
							$27,267,967						"
"
						36.
					","

								Andre Drummond							
","
							$27,093,018						","
							$27,267,966						"
"
						36.
					","

								Hassan Whiteside							
","
							$27,093,018						","
							$27,267,966						"
"
						36.
					","

								Bradley Beal							
","
							$27,093,018						","
							$27,267,966						"
"
						39.
					","

								Jrue Holiday							
","
							$26,131,111						","
							$26,299,848						"
"
						40.
					","

								LaMarcus Aldridge							
","
							$26,000,000						","
							$26,167,890						"
"
						41.
					","

								Giannis Antetokounmpo							
","
							$25,842,697						","
							$26,009,571						"
"
						41.
					","

								Steven Adams							
","
							$25,842,697						","
							$26,009,571						"
"
						43.
					","

								Marc Gasol							
","
							$25,595,700						","
							$25,760,979						"
"
						44.
					","

								Nicolas Batum							
","
							$25,565,217						","
							$25,730,300						"
"
						45.
					","

								Rudy Gobert							
","
							$25,258,427						","
							$25,421,529						"
"
						46.
					","

								Harrison Barnes							
","
							$24,147,727						","
							$24,303,656						"
"
						47.
					","

								Serge Ibaka							
","
							$23,271,604						","
							$23,421,876						"
"
						48.
					","

								Danilo Gallinari							
","
							$22,615,559						","
							$22,761,595						"
"
						49.
					","

								Victor Oladipo							
","
							$21,000,000						","
							$21,135,603						"
"
						50.
					","

								Tim Hardaway Jr							
","
							$20,025,127						","
							$20,154,435						"
"
						51.
					","

								Malcolm Brogdon							
","
							$20,000,000						","
							$20,129,146						"
"
						52.
					","

								Terry Rozier							
","
							$19,894,737						","
							$20,023,203						"
