Player,2009-2010
,Player,"
							2009/10						","
							2009/10(*)						"
"
						1.
					","

								Tracy McGrady							
","
							$23,239,562						","
							$27,776,002						"
"
						2.
					","

								Kobe Bryant							
","
							$23,034,375						","
							$27,530,762						"
"
						3.
					","

								Jermaine O'Neal							
","
							$23,016,000						","
							$27,508,800						"
"
						4.
					","

								Tim Duncan							
","
							$22,183,220						","
							$26,513,459						"
"
						5.
					","

								Shaquille O'Neal							
","
							$20,000,000						","
							$23,904,067						"
"
						6.
					","

								Dirk Nowitzki							
","
							$19,795,714						","
							$23,659,904						"
"
						7.
					","

								Paul Pierce							
","
							$19,795,712						","
							$23,659,901						"
"
						8.
					","

								Rashard Lewis							
","
							$18,876,000						","
							$22,560,658						"
"
						9.
					","

								Ray Allen							
","
							$18,776,860						","
							$22,442,166						"
"
						10.
					","

								Michael Redd							
","
							$17,040,000						","
							$20,366,265						"
"
						11.
					","

								Pau Gasol							
","
							$16,452,000						","
							$19,663,485						"
"
						11.
					","

								Andrei Kirilenko							
","
							$16,452,000						","
							$19,663,485						"
"
						13.
					","

								Kevin Garnett							
","
							$16,400,000						","
							$19,601,335						"
"
						14.
					","

								Yao Ming							
","
							$16,378,325						","
							$19,575,429						"
"
						14.
					","

								Amare Stoudemire							
","
							$16,378,325						","
							$19,575,429						"
"
						16.
					","

								Vince Carter							
","
							$16,300,000						","
							$19,481,814						"
"
						17.
					","

								Gilbert Arenas							
","
							$16,192,080						","
							$19,352,828						"
"
						18.
					","

								Zach Randolph							
","
							$16,000,000						","
							$19,123,253						"
"
						19.
					","

								LeBron James							
","
							$15,779,912						","
							$18,860,203						"
"
						19.
					","

								Carmelo Anthony							
","
							$15,779,912						","
							$18,860,203						"
"
						19.
					","

								Dwyane Wade							
","
							$15,779,912						","
							$18,860,203						"
"
						19.
					","

								Chris Bosh							
","
							$15,779,912						","
							$18,860,203						"
"
						23.
					","

								Kenyon Martin							
","
							$15,363,636						","
							$18,362,669						"
"
						24.
					","

								Dwight Howard							
","
							$15,202,590						","
							$18,170,186						"
"
						25.
					","

								Joe Johnson							
","
							$14,976,754						","
							$17,900,266						"
"
						26.
					","

								Elton Brand							
","
							$14,858,471						","
							$17,758,894						"
