Player,2015-2016
,Player,"
							2015/16						","
							2015/16(*)						"
"
						1.
					","

								Kobe Bryant							
","
							$25,000,000						","
							$27,007,119						"
"
						2.
					","

								LeBron James							
","
							$22,970,500						","
							$24,814,681						"
"
						3.
					","

								Carmelo Anthony							
","
							$22,875,000						","
							$24,711,514						"
"
						4.
					","

								Dwight Howard							
","
							$22,359,364						","
							$24,154,480						"
"
						5.
					","

								Joe Johnson							
","
							$22,309,344						","
							$24,100,444						"
"
						6.
					","

								Chris Bosh							
","
							$22,192,730						","
							$23,974,468						"
"
						7.
					","

								Kevin Durant							
","
							$21,971,850						","
							$23,735,855						"
"
						8.
					","

								Chris Paul							
","
							$21,468,695						","
							$23,192,304						"
"
						9.
					","

								Derrick Rose							
","
							$20,093,064						","
							$21,706,231						"
"
						10.
					","

								Dwyane Wade							
","
							$20,000,000						","
							$21,605,695						"
"
						11.
					","

								Brook Lopez							
","
							$19,689,000						","
							$21,269,727						"
"
						11.
					","

								Kevin Love							
","
							$19,689,000						","
							$21,269,727						"
"
						11.
					","

								DeAndre Jordan							
","
							$19,689,000						","
							$21,269,727						"
"
						11.
					","

								Marc Gasol							
","
							$19,689,000						","
							$21,269,727						"
"
						11.
					","

								LaMarcus Aldridge							
","
							$19,689,000						","
							$21,269,727						"
"
						16.
					","

								Blake Griffin							
","
							$18,862,876						","
							$20,377,277						"
"
						17.
					","

								Paul Millsap							
","
							$18,671,659						","
							$20,170,709						"
"
						18.
					","

								David Lee							
","
							$17,120,776						","
							$18,495,313						"
"
						19.
					","

								Paul George							
","
							$16,900,000						","
							$18,256,812						"
"
						20.
					","

								Russell Westbrook							
","
							$16,744,218						","
							$18,088,523						"
"
						21.
					","

								Jimmy Butler							
","
							$16,407,500						","
							$17,724,772						"
"
						21.
					","

								Kyrie Irving							
","
							$16,407,500						","
							$17,724,772						"
"
						21.
					","

								Wesley Matthews							
","
							$16,407,500						","
							$17,724,772						"
"
						21.
					","

								Greg Monroe							
","
							$16,407,500						","
							$17,724,772						"
"
						21.
					","

								Enes Kanter							
","
							$16,407,500						","
							$17,724,772						"
"
						21.
					","

								Kawhi Leonard							
","
							$16,407,500						","
							$17,724,772						"
"
						27.
					","

								Tobias Harris							
","
							$16,000,000						","
							$17,284,556						"
"
						28.
					","

								James Harden							
","
							$15,719,062						","
							$16,981,063						"
"
						29.
					","

								Roy Hibbert							
","
							$15,514,031						","
							$16,759,571						"
"
						29.
					","

								Eric Gordon							
","
							$15,514,031						","
							$16,759,571						"
"
						31.
					","

								Klay Thompson							
","
							$15,501,000						","
							$16,745,494						"
"
						32.
					","

								Gordon Hayward							
","
							$15,409,570						","
							$16,646,723						"
"
						33.
					","

								Chandler Parsons							
","
							$15,361,500						","
							$16,594,794						"
"
						34.
					","

								Goran Dragic							
","
							$14,783,000						","
							$15,969,849						"
