Player,2011-2012
,Player,"
							2011/12						","
							2011/12(*)						"
"
						1.
					","

								Kobe Bryant							
","
							$25,244,493						","
							$28,831,724						"
"
						2.
					","

								Vince Carter							
","
							$21,300,000						","
							$24,326,720						"
"
						3.
					","

								Kevin Garnett							
","
							$21,247,044						","
							$24,266,239						"
"
						4.
					","

								Tim Duncan							
","
							$21,164,619						","
							$24,172,102						"
"
						5.
					","

								Rashard Lewis							
","
							$21,136,631						","
							$24,140,137						"
"
						6.
					","

								Gilbert Arenas							
","
							$19,269,307						","
							$22,007,467						"
"
						7.
					","

								Dirk Nowitzki							
","
							$19,092,873						","
							$21,805,962						"
"
						8.
					","

								Pau Gasol							
","
							$18,714,150						","
							$21,373,422						"
"
						9.
					","

								Carmelo Anthony							
","
							$18,518,574						","
							$21,150,055						"
"
						10.
					","

								Amare Stoudemire							
","
							$18,217,705						","
							$20,806,433						"
"
						11.
					","

								Dwight Howard							
","
							$18,091,770						","
							$20,662,602						"
"
						12.
					","

								Joe Johnson							
","
							$18,038,573						","
							$20,601,846						"
"
						13.
					","

								Richard Hamilton							
","
							$17,500,000						","
							$19,986,741						"
"
						14.
					","

								Elton Brand							
","
							$17,059,727						","
							$19,483,906						"
"
						15.
					","

								Deron Williams							
","
							$16,359,805						","
							$18,684,526						"
"
						15.
					","

								Chris Paul							
","
							$16,359,805						","
							$18,684,526						"
"
						17.
					","

								Brandon Roy							
","
							$16,032,144						","
							$18,310,304						"
"
						18.
					","

								LeBron James							
","
							$16,022,500						","
							$18,299,290						"
"
						18.
					","

								Chris Bosh							
","
							$16,022,500						","
							$18,299,290						"
"
						20.
					","

								Dwyane Wade							
","
							$15,691,000						","
							$17,920,684						"
"
						21.
					","

								Kevin Durant							
","
							$15,506,632						","
							$17,710,117						"
"
						22.
					","

								Paul Pierce							
","
							$15,333,334						","
							$17,512,194						"
"
						23.
					","

								Baron Davis							
","
							$15,252,181						","
							$17,419,509						"
"
						24.
					","

								Zach Randolph							
","
							$15,200,000						","
							$17,359,913						"
"
						25.
					","

								Antawn Jamison							
","
							$15,076,715						","
							$17,219,109						"
"
						26.
					","

								Rudy Gay							
","
							$15,032,144						","
							$17,168,205						"
"
						27.
					","

								Andrew Bynum							
","
							$14,900,000						","
							$17,017,283						"
"
						28.
					","

								Chauncey Billups							
","
							$14,200,000						","
							$16,217,813						"
"
						29.
					","

								Chris Kaman							
","
							$14,030,000						","
							$16,023,657						"
"
						30.
					","

								Al Jefferson							
","
							$14,000,000						","
							$15,989,394						"
"
						31.
					","

								Andre Iguodala							
","
							$13,531,750						","
							$15,454,605						"
"
						32.
					","

								Carlos Boozer							
","
							$13,500,000						","
							$15,418,344						"
"
						33.
					","

								Tyson Chandler							
","
							$13,107,837						","
							$14,970,455						"
"
						34.
					","

								Nenê							
","
							$13,000,000						","
							$14,847,294						"
"
						35.
					","

								Manu Ginobili							
","
							$12,981,038						","
							$14,825,637						"
"
						36.
					","

								Marc Gasol							
","
							$12,922,194						","
							$14,758,432						"
"
						37.
					","

								Emeka Okafor							
","
							$12,541,812						","
							$14,323,998						"
"
						38.
					","

								Tony Parker							
","
							$12,500,000						","
							$14,276,244						"
"
						39.
					","

								Josh Smith							
","
							$12,400,000						","
							$14,162,034						"
"
						40.
					","

								LaMarcus Aldridge							
","
							$12,372,000						","
							$14,130,055						"
"
						41.
					","

								Luol Deng							
","
							$12,325,000						","
							$14,076,377						"
"
						42.
					","

								Danny Granger							
","
							$12,015,904						","
							$13,723,358						"
"
						43.
					","

								Al Horford							
","
							$12,000,000						","
							$13,705,194						"
"
						43.
					","

								Joakim Noah							
","
							$12,000,000						","
							$13,705,194						"
"
						43.
					","

								Andrew Bogut							
","
							$12,000,000						","
							$13,705,194						"
"
						46.
					","

								Steve Nash							
","
							$11,689,062						","
							$13,350,072						"
"
						47.
					","

								David Lee							
","
							$11,610,000						","
							$13,259,776						"
"
						48.
					","

								Ben Gordon							
","
							$11,600,000						","
							$13,248,355						"
"
						49.
					","

								Kevin Martin							
","
							$11,519,840						","
							$13,156,804						"
"
						50.
					","

								Marcus Camby							
","
							$11,227,250						","
							$12,822,637						"
"
						51.
					","

								Jason Terry							
","
							$11,158,000						","
							$12,743,547						"
"
						52.
					","

								Hidayet Turkoglu							
","
							$11,015,850						","
							$12,581,197						"
"
						53.
					","

								Monta Ellis							
","
							$11,000,000						","
							$12,563,095						"
"
						54.
					","

								Mehmet Okur							
","
							$10,890,000						","
							$12,437,464						"
"
						55.
					","

								Corey Maggette							
","
							$10,262,069						","
							$11,720,304						"
"
						56.
					","

								Jason Kidd							
","
							$10,121,000						","
							$11,559,189						"
"
						57.
					","

								DeAndre Jordan							
","
							$10,079,404						","
							$11,511,683						"
"
						58.
					","

								Rajon Rondo							
","
							$10,045,455						","
							$11,472,909						"
"
						59.
					","

								Ray Allen							
","
							$10,000,000						","
							$11,420,995						"
"
						59.
					","

								David West							
","
							$10,000,000						","
							$11,420,995						"
"
						61.
					","

								Jose Calderon							
","
							$9,780,992						","
							$11,170,866						"
"
						62.
					","

								Gerald Wallace							
","
							$9,500,000						","
							$10,849,945						"
"
						63.
					","

								Devin Harris							
","
							$9,319,000						","
							$10,643,225						"
"
						64.
					","

								Richard Jefferson							
","
							$9,282,000						","
							$10,600,968						"
"
						65.
					","

								Stephen Jackson							
","
							$9,256,500						","
							$10,571,844						"
"
						66.
					","

								Andrea Bargnani							
","
							$9,250,000						","
							$10,564,421						"
"
						67.
					","

								Boris Diaw							
","
							$9,000,000						","
							$10,278,896						"
