Player,2014-2015
,Player,"
							2014/15						","
							2014/15(*)						"
"
						1.
					","

								Kobe Bryant							
","
							$23,500,000						","
							$25,418,113						"
"
						2.
					","

								Joe Johnson							
","
							$23,180,790						","
							$25,072,849						"
"
						3.
					","

								Carmelo Anthony							
","
							$22,458,401						","
							$24,291,497						"
"
						4.
					","

								Amare Stoudemire							
","
							$21,896,658						","
							$23,683,903						"
"
						5.
					","

								Dwight Howard							
","
							$21,436,271						","
							$23,185,939						"
"
						6.
					","

								LeBron James							
","
							$20,644,400						","
							$22,329,434						"
"
						6.
					","

								Chris Bosh							
","
							$20,644,400						","
							$22,329,434						"
"
						8.
					","

								Chris Paul							
","
							$20,068,563						","
							$21,706,596						"
"
						9.
					","

								Kevin Durant							
","
							$19,997,513						","
							$21,629,747						"
"
						10.
					","

								Deron Williams							
","
							$19,754,465						","
							$21,366,861						"
"
						11.
					","

								Rudy Gay							
","
							$19,317,326						","
							$20,894,042						"
"
						12.
					","

								Derrick Rose							
","
							$18,862,876						","
							$20,402,499						"
"
						13.
					","

								Blake Griffin							
","
							$17,632,688						","
							$19,071,900						"
"
						14.
					","

								Carlos Boozer							
","
							$16,800,000						","
							$18,171,247						"
"
						15.
					","

								Zach Randolph							
","
							$16,500,000						","
							$17,846,760						"
"
						16.
					","

								Marc Gasol							
","
							$15,829,688						","
							$17,121,736						"
"
						17.
					","

								Paul George							
","
							$15,800,000						","
							$17,089,625						"
"
						18.
					","

								Kevin Love							
","
							$15,719,063						","
							$17,002,082						"
"
						19.
					","

								Russell Westbrook							
","
							$15,719,062						","
							$17,002,081						"
"
						20.
					","

								Brook Lopez							
","
							$15,719,000						","
							$17,002,014						"
"
						21.
					","

								LaMarcus Aldridge							
","
							$15,200,000						","
							$16,440,652						"
"
						22.
					","

								David Lee							
","
							$15,012,000						","
							$16,237,307						"
"
						23.
					","

								Dwyane Wade							
","
							$15,000,000						","
							$16,224,327						"
"
						24.
					","

								Josh Smith							
","
							$14,945,778						","
							$16,165,680						"
"
						25.
					","

								Roy Hibbert							
","
							$14,898,938						","
							$16,115,017						"
"
						25.
					","

								Jeremy Lin							
","
							$14,898,938						","
							$16,115,017						"
"
						25.
					","

								Eric Gordon							
","
							$14,898,938						","
							$16,115,017						"
"
						25.
					","

								Omer Asik							
","
							$14,898,938						","
							$16,115,017						"
"
						29.
					","

								Gordon Hayward							
","
							$14,746,000						","
							$15,949,596						"
"
						30.
					","

								Chandler Parsons							
","
							$14,700,000						","
							$15,899,841						"
"
						31.
					","

								James Harden							
","
							$14,693,906						","
							$15,893,250						"
"
						32.
					","

								Tyson Chandler							
","
							$14,596,888						","
							$15,788,313						"
"
						33.
					","

								Brandon Roy							
","
							$14,399,332						","
							$15,574,632						"
"
						34.
					","

								DeMarcus Cousins							
","
							$13,701,250						","
							$14,819,571						"
"
						34.
					","

								John Wall							
","
							$13,701,250						","
							$14,819,571						"
"
						36.
					","

								Al Jefferson							
","
							$13,500,000						","
							$14,601,895						"
"
						37.
					","

								Eric Bledsoe							
","
							$13,000,000						","
							$14,061,084						"
"
						37.
					","

								Nenê							
","
							$13,000,000						","
							$14,061,084						"
"
						39.
					","

								Andrew Bogut							
","
							$12,972,973						","
							$14,031,851						"
"
						40.
					","

								Derrick Favors							
","
							$12,950,000						","
							$14,007,003						"
"
						41.
					","

								Rajon Rondo							
","
							$12,909,090						","
							$13,962,753						"
"
						42.
					","

								Joakim Noah							
","
							$12,700,000						","
							$13,736,597						"
"
						43.
					","

								Tony Parker							
","
							$12,500,000						","
							$13,520,273						"
"
						44.
					","

								Andre Iguodala							
","
							$12,289,544						","
							$13,292,639						"
"
						45.
					","

								Serge Ibaka							
","
							$12,250,000						","
							$13,249,867						"
"
						46.
					","

								Nikola Pekovic							
","
							$12,100,000						","
							$13,087,624						"
"
						47.
					","

								Al Horford							
","
							$12,000,000						","
							$12,979,462						"
"
						47.
					","

								David West							
","
							$12,000,000						","
							$12,979,462						"
"
						47.
					","

								Kevin Garnett							
","
							$12,000,000						","
							$12,979,462						"
"
						47.
					","

								Andrea Bargnani							
","
							$12,000,000						","
							$12,979,462						"
"
						47.
					","

								Kyle Lowry							
","
							$12,000,000						","
							$12,979,462						"
"
						52.
					","

								Ty Lawson							
","
							$11,595,506						","
							$12,541,952						"
"
						53.
					","

								DeAndre Jordan							
","
							$11,440,123						","
							$12,373,887						"
"
						54.
					","

								Nicolas Batum							
","
							$11,390,500						","
							$12,320,213						"
"
						55.
					","

								Tyreke Evans							
","
							$11,265,416						","
							$12,184,920						"
"
						56.
					","

								JaVale McGee							
","
							$11,250,000						","
							$12,168,245						"
