Player,2018-2019
,Player,"
							2018/19						","
							2018/19(*)						"
"
						1.
					","

								Stephen Curry							
","
							$37,457,154						","
							$38,320,489						"
"
						2.
					","

								Russell Westbrook							
","
							$35,665,000						","
							$36,487,029						"
"
						3.
					","

								Chris Paul							
","
							$35,654,150						","
							$36,475,929						"
"
						3.
					","

								LeBron James							
","
							$35,654,150						","
							$36,475,929						"
"
						5.
					","

								Kyle Lowry							
","
							$32,700,000						","
							$33,453,690						"
"
						6.
					","

								Blake Griffin							
","
							$31,873,932						","
							$32,608,582						"
"
						7.
					","

								Gordon Hayward							
","
							$31,214,295						","
							$31,933,741						"
"
						8.
					","

								James Harden							
","
							$30,570,000						","
							$31,274,596						"
"
						9.
					","

								Paul George							
","
							$30,560,700						","
							$31,265,082						"
"
						10.
					","

								Mike Conley							
","
							$30,521,115						","
							$31,224,584						"
"
						11.
					","

								Kevin Durant							
","
							$30,000,000						","
							$30,691,458						"
"
						12.
					","

								Paul Millsap							
","
							$29,230,769						","
							$29,904,498						"
"
						13.
					","

								Al Horford							
","
							$28,928,710						","
							$29,595,476						"
"
						14.
					","

								Damian Lillard							
","
							$27,977,689						","
							$28,622,536						"
"
						15.
					","

								DeMar DeRozan							
","
							$27,739,975						","
							$28,379,343						"
"
						16.
					","

								Chris Bosh							
","
							$26,837,720						","
							$27,456,292						"
"
						17.
					","

								Jrue Holiday							
","
							$26,641,111						","
							$27,255,151						"
"
						18.
					","

								Otto Porter							
","
							$26,011,913						","
							$26,611,451						"
"
						19.
					","

								CJ McCollum							
","
							$25,759,766						","
							$26,353,493						"
"
						20.
					","

								Nikola Jokic							
","
							$25,467,250						","
							$26,054,235						"
"
						20.
					","

								Andrew Wiggins							
","
							$25,467,250						","
							$26,054,235						"
"
						20.
					","

								Joel Embiid							
","
							$25,467,250						","
							$26,054,235						"
"
						23.
					","

								Anthony Davis							
","
							$25,434,263						","
							$26,020,487						"
"
						24.
					","

								Andre Drummond							
","
							$25,434,262						","
							$26,020,486						"
"
						24.
					","

								Bradley Beal							
","
							$25,434,262						","
							$26,020,486						"
"
						26.
					","

								Hassan Whiteside							
","
							$24,434,262						","
							$24,997,438						"
"
						27.
					","

								Dwight Howard							
","
							$24,256,725						","
							$24,815,808						"
"
						28.
					","

								Giannis Antetokounmpo							
","
							$24,157,304						","
							$24,714,096						"
