Player,2016-2017
,Player,"
							2016/17						","
							2016/17(*)						"
"
						1.
					","

								LeBron James							
","
							$30,963,450						","
							$33,119,038						"
"
						2.
					","

								Al Horford							
","
							$26,540,100						","
							$28,387,747						"
"
						2.
					","

								Kevin Durant							
","
							$26,540,100						","
							$28,387,747						"
"
						2.
					","

								James Harden							
","
							$26,540,100						","
							$28,387,747						"
"
						2.
					","

								Mike Conley							
","
							$26,540,100						","
							$28,387,747						"
"
						2.
					","

								Russell Westbrook							
","
							$26,540,100						","
							$28,387,747						"
"
						2.
					","

								DeMar DeRozan							
","
							$26,540,100						","
							$28,387,747						"
"
						8.
					","

								Dirk Nowitzki							
","
							$25,000,000						","
							$26,740,430						"
"
						9.
					","

								Carmelo Anthony							
","
							$24,559,380						","
							$26,269,135						"
"
						10.
					","

								Damian Lillard							
","
							$24,328,425						","
							$26,022,101						"
"
						11.
					","

								Chris Bosh							
","
							$23,741,060						","
							$25,393,846						"
"
						12.
					","

								Dwight Howard							
","
							$23,500,000						","
							$25,136,004						"
"
						13.
					","

								Dwyane Wade							
","
							$23,200,000						","
							$24,815,119						"
"
						14.
					","

								Chris Paul							
","
							$22,868,827						","
							$24,460,890						"
"
						15.
					","

								Harrison Barnes							
","
							$22,116,750						","
							$23,656,456						"
"
						15.
					","

								Andre Drummond							
","
							$22,116,750						","
							$23,656,456						"
"
						15.
					","

								Chandler Parsons							
","
							$22,116,750						","
							$23,656,456						"
"
						15.
					","

								Hassan Whiteside							
","
							$22,116,750						","
							$23,656,456						"
"
						15.
					","

								Anthony Davis							
","
							$22,116,750						","
							$23,656,456						"
"
						15.
					","

								Bradley Beal							
","
							$22,116,750						","
							$23,656,456						"
"
						21.
					","

								Derrick Rose							
","
							$21,323,252						","
							$22,807,717						"
"
						22.
					","

								Brook Lopez							
","
							$21,165,675						","
							$22,639,170						"
"
						22.
					","

								Kevin Love							
","
							$21,165,675						","
							$22,639,170						"
"
						22.
					","

								DeAndre Jordan							
","
							$21,165,675						","
							$22,639,170						"
"
						22.
					","

								Marc Gasol							
","
							$21,165,675						","
							$22,639,170						"
"
						26.
					","

								Nicolas Batum							
","
							$20,869,566						","
							$22,322,446						"
"
						27.
					","

								LaMarcus Aldridge							
","
							$20,575,005						","
							$22,007,379						"
"
						28.
					","

								Blake Griffin							
","
							$20,093,064						","
							$21,491,886						"
