Player,2013-2014
,Player,"
							2013/14						","
							2013/14(*)						"
"
						1.
					","

								Kobe Bryant							
","
							$30,453,000						","
							$33,621,231						"
"
						2.
					","

								Dirk Nowitzki							
","
							$22,721,381						","
							$25,085,239						"
"
						3.
					","

								Gilbert Arenas							
","
							$22,346,536						","
							$24,671,397						"
"
						4.
					","

								Amare Stoudemire							
","
							$21,679,893						","
							$23,935,398						"
"
						5.
					","

								Carmelo Anthony							
","
							$21,490,000						","
							$23,725,750						"
"
						6.
					","

								Joe Johnson							
","
							$21,466,718						","
							$23,700,045						"
"
						7.
					","

								Dwight Howard							
","
							$20,513,178						","
							$22,647,302						"
"
						8.
					","

								Pau Gasol							
","
							$19,285,850						","
							$21,292,287						"
"
						9.
					","

								Chris Bosh							
","
							$19,067,500						","
							$21,051,220						"
"
						9.
					","

								LeBron James							
","
							$19,067,500						","
							$21,051,220						"
"
						11.
					","

								Kevin Durant							
","
							$18,773,176						","
							$20,726,276						"
"
						12.
					","

								Chris Paul							
","
							$18,668,431						","
							$20,610,634						"
"
						13.
					","

								Dwyane Wade							
","
							$18,536,000						","
							$20,464,425						"
"
						14.
					","

								Deron Williams							
","
							$18,466,130						","
							$20,387,286						"
"
						15.
					","

								Rudy Gay							
","
							$17,888,932						","
							$19,750,038						"
"
						16.
					","

								Zach Randolph							
","
							$17,800,000						","
							$19,651,854						"
"
						17.
					","

								Brandon Roy							
","
							$17,779,458						","
							$19,629,175						"
"
						18.
					","

								Derrick Rose							
","
							$17,632,688						","
							$19,467,135						"
"
						19.
					","

								Blake Griffin							
","
							$16,402,500						","
							$18,108,962						"
"
						20.
					","

								Paul Pierce							
","
							$15,333,334						","
							$16,928,564						"
"
						21.
					","

								Carlos Boozer							
","
							$15,300,000						","
							$16,891,762						"
"
						22.
					","

								Marc Gasol							
","
							$14,860,523						","
							$16,406,563						"
"
						23.
					","

								Brook Lopez							
","
							$14,694,000						","
							$16,222,716						"
"
						24.
					","

								Kevin Love							
","
							$14,693,906						","
							$16,222,612						"
"
						24.
					","

								Russell Westbrook							
","
							$14,693,906						","
							$16,222,612						"
"
						26.
					","

								Emeka Okafor							
","
							$14,544,687						","
							$16,057,869						"
"
						27.
					","

								Danny Granger							
","
							$14,379,240						","
							$15,875,209						"
"
						28.
					","

								Luol Deng							
","
							$14,312,125						","
							$15,801,112						"
"
						29.
					","

								Roy Hibbert							
","
							$14,283,844						","
							$15,769,888						"
"
						29.
					","

								Eric Gordon							
","
							$14,283,844						","
							$15,769,888						"
"
						31.
					","

								Andrew Bogut							
","
							$14,200,000						","
							$15,677,322						"
"
						32.
					","

								Tyson Chandler							
","
							$14,100,538						","
							$15,567,512						"
"
						33.
					","

								LaMarcus Aldridge							
","
							$14,100,000						","
							$15,566,918						"
"
						34.
					","

								Josh Smith							
","
							$14,000,000						","
							$15,456,514						"
"
						35.
					","

								David Lee							
","
							$13,878,000						","
							$15,321,822						"
"
						36.
					","

								James Harden							
","
							$13,668,750						","
							$15,090,802						"
"
						37.
					","

								Al Jefferson							
","
							$13,500,000						","
							$14,904,496						"
"
						38.
					","

								Ben Gordon							
","
							$13,200,000						","
							$14,573,285						"
