Player,2017-2018
,Player,"
							2017/18						","
							2017/18(*)						"
"
						1.
					","

								Stephen Curry							
","
							$34,682,550						","
							$36,500,815						"
"
						2.
					","

								LeBron James							
","
							$33,285,709						","
							$35,030,744						"
"
						3.
					","

								Paul Millsap							
","
							$30,769,231						","
							$32,382,337						"
"
						4.
					","

								Gordon Hayward							
","
							$29,727,900						","
							$31,286,413						"
"
						5.
					","

								Blake Griffin							
","
							$29,512,900						","
							$31,060,141						"
"
						6.
					","

								Kyle Lowry							
","
							$28,903,704						","
							$30,419,008						"
"
						7.
					","

								Mike Conley							
","
							$28,530,608						","
							$30,026,352						"
"
						8.
					","

								James Harden							
","
							$28,299,399						","
							$29,783,022						"
"
						8.
					","

								Russell Westbrook							
","
							$28,299,399						","
							$29,783,022						"
"
						10.
					","

								DeMar DeRozan							
","
							$27,739,975						","
							$29,194,269						"
"
						11.
					","

								Al Horford							
","
							$27,734,405						","
							$29,188,407						"
"
						12.
					","

								Carmelo Anthony							
","
							$26,243,760						","
							$27,619,614						"
"
						13.
					","

								Damian Lillard							
","
							$26,153,057						","
							$27,524,156						"
"
						14.
					","

								Jrue Holiday							
","
							$25,686,667						","
							$27,033,315						"
"
						15.
					","

								Chris Bosh							
","
							$25,289,390						","
							$26,615,210						"
"
						16.
					","

								Kevin Durant							
","
							$25,000,000						","
							$26,310,648						"
"
						17.
					","

								Otto Porter							
","
							$24,773,250						","
							$26,072,011						"
"
						18.
					","

								Chris Paul							
","
							$24,268,959						","
							$25,541,282						"
"
						19.
					","

								CJ McCollum							
","
							$23,962,573						","
							$25,218,833						"
"
						20.
					","

								Andre Drummond							
","
							$23,775,506						","
							$25,021,959						"
"
						20.
					","

								Hassan Whiteside							
","
							$23,775,506						","
							$25,021,959						"
"
						20.
					","

								Anthony Davis							
","
							$23,775,506						","
							$25,021,959						"
"
						20.
					","

								Bradley Beal							
","
							$23,775,506						","
							$25,021,959						"
"
						24.
					","

								Dwight Howard							
","
							$23,500,000						","
							$24,732,009						"
"
						25.
					","

								Harrison Barnes							
","
							$23,112,004						","
							$24,323,672						"
"
						25.
					","

								Chandler Parsons							
","
							$23,112,004						","
							$24,323,672						"
"
						27.
					","

								JJ Redick							
","
							$23,000,000						","
							$24,205,796						"
"
						28.
					","

								Kevin Love							
","
							$22,642,350						","
							$23,829,396						"
